,id,name,average_rating,guests,room_type,house_type,beds,baths,is_new_listing,title,lat,lng,rate,amount,picture,reviews_count
14,29325722,The Universal,4.86,4 guests,1 bedroom,entire_home,3 beds,1.5 baths,False,Home in Orlando,28.58038,-81.40781,$138,138,https://a0.muscache.com/im/pictures/prohost-api/Hosting-29325722/original/901c6684-ff2b-451c-8420-43afd6ff249b.jpeg?im_w=720,246
15,563203915653694857,Completely Remodeled 3 Bedroom Home With A Pool,4.8,10 guests,3 bedrooms,entire_home,8 beds,2 baths,False,Home in Cape Coral,26.58644,-81.97422,$232,232,https://a0.muscache.com/im/pictures/miso/Hosting-563203915653694857/original/dbf717a1-880e-4f09-afc8-fc0c1b7055b1.jpeg?im_w=720,15
16,48351190,"Otter Landing on Santa Fe River, 13 private acres",4.94,4 guests,2 bedrooms,entire_home,3 beds,2 baths,False,Home in Branford,29.92259,-82.77225,$229,229,https://a0.muscache.com/im/pictures/miso/Hosting-48351190/original/7dfe2305-bd96-4051-a574-7a80fe553302.jpeg?im_w=720,47
17,48121796,Shoreside-ish escape by Fernando (10 min Disney),4.81,8 guests,4 bedrooms,entire_home,5 beds,3 baths,False,Home in Kissimmee,28.31641,-81.61166,$241,241,https://a0.muscache.com/im/pictures/58c324f5-eb0b-449a-9918-7a4e6bdde907.jpg?im_w=720,52
18,49172746,"16-floor beachfront condo with balcony, WiFi, indoor/outdoor pools & hot tub",4.52,6 guests,2 bedrooms,entire_home,3 beds,2 baths,False,Condo in Panama City Beach,30.23037,-85.90828,$210,210,https://a0.muscache.com/im/pictures/prohost-api/Hosting-49172746/original/f401f0cb-8665-4536-b61e-266452f835f4.jpeg?im_w=720,23
19,46870949,Tiny Cabin In the Woods,4.94,2 guests,Studio,entire_home,1 bed,1 bath,False,Tiny home in Milton,30.81679,-87.01194,$176,176,https://a0.muscache.com/im/pictures/063c8ff6-42df-46fe-90e4-1c5d4f970aab.jpg?im_w=720,70
0,35794298,"a1416 Orbi seaview balcony, long term ready, 40Mbp",4.94,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Condo in Batumi,41.63491,41.60743,$15,15,https://a0.muscache.com/im/pictures/miso/Hosting-35794298/original/6ca44d72-935c-4a87-8e60-acdb2e5b4c3e.png?im_w=720,67
1,49915549,Sea view fully serviced hotel apartment,4.68,3 guests,1 bedroom,entire_home,1 bed,1 bath,False,Apartment in Batumi,41.63949,41.61273,$20,20,https://a0.muscache.com/im/pictures/d384b69e-7a5b-402b-adfa-1008f503a7b3.jpg?im_w=720,57
2,30359699,Industrial Apartment in the Old Town,4.99,4 guests,1 bedroom,entire_home,2 beds,1 bath,False,Apartment in T'bilisi,41.69179,44.79561,$52,52,https://a0.muscache.com/im/pictures/256ee78a-2a19-4b0d-8334-242faf65f388.jpg?im_w=720,115
3,19139804,"[3] Luxury Apt with Balcony, near Blvrd and Park",4.9,3 guests,1 bedroom,entire_home,2 beds,1 bath,False,Apartment in Batumi,41.64607,41.63314,$27,27,https://a0.muscache.com/im/pictures/e661960a-0051-4b8e-bfd1-3a9734577b8a.jpg?im_w=720,61
